productid,link,product_title,price,actual_price,ratings,color
310,https://www.daraz.com.np/products/asus-zenbook-14x-oled-q410-i5-13500h-8gb-ram-512gb-ssd-145-24k-120hz-display-i129730546.html,Asus Zenbook 14X OLED Q410 I5-13500H-8GB RAM-512GB SSD-14.5' 2.4K 120Hz Display,"Rs. 99,998","Rs. 105,000",No Ratings,Multicolor
311,https://www.daraz.com.np/products/apple-macbook-air-m1-8gb-unified-memery-256gb-storage-i135656793.html,Apple Macbook Air M1 8gb Unified memery 256gb Storage,"Rs. 116,500","Rs. 124,000",No Ratings,Space Grey
312,https://www.daraz.com.np/products/lenovo-ideapad-3-core-i3-1115g4-8gb-ram-256gb-ssd-14-fhd-i123703247.html,Lenovo Ideapad 3 | Core i3- 1115G4 | 8GB RAM | 256GB SSD | 14” FHD,"Rs. 53,999","Rs. 62,000",No Ratings,Multicolor
315,https://www.daraz.com.np/products/acer-shadow-15-intel-core-i7-13620h-rtx-4060-8gb-graphics-16gb-ddr5-ram-1tb-nvme-gen-4-ssd-156-fhd-165hz-display-rgb-backlit-keyboard-black-i150024168.html,Acer Shadow 15 Intel Core i7 13620H RTX 4060 8GB Graphics – 16GB DDR5 RAM – 1TB NVMe Gen 4 SSD – 15.6″ FHD 165Hz Display – RGB Backlit Keyboard – Black,"Rs. 159,999","Rs. 195,000",No Ratings,Black
317,https://www.daraz.com.np/products/acer-aspire-5-i7-13th-gen-1355u-2023-8gb-ddr5-ram-512gb-nvme-ssd-156-fhd-display-iris-xe-graphics-steel-grey-i128839907.html,Acer Aspire 5 i7 13th Gen 1355U 2023 – 8GB DDR5 RAM – 512GB NVMe SSD – 15.6″ FHD Display – Iris Xe Graphics – Steel Grey,"Rs. 99,999","Rs. 115,000",No Ratings,Black
319,https://www.daraz.com.np/products/lenovo-ideapad-3-intel-core-i5-11th-gen-8gb-ddr4-ram-256gb-nvme-ssd-intel-iris-xe-graphics-156-fhd-display-grey-i128839915.html,"Lenovo Ideapad 3 Intel Core i5 11th Gen - 8GB DDR4 RAM - 256GB NVMe SSD - Intel Iris Xe Graphics - 15.6"" FHD Display - Grey","Rs. 62,999","Rs. 78,000",No Ratings,Silver
320,https://www.daraz.com.np/products/acer-aspire-5-a515-58p-intel-core-i5-1335u-processor-8gb-ram-512gb-ssd-intel-iris-xe-graphics-156-fhd-display-i129075100.html,"Acer Aspire 5 A515-58P (Intel Core i5-1335U Processor | 8GB RAM | 512GB SSD | Intel Iris Xe Graphics | 15.6"" FHD Display)","Rs. 71,900","Rs. 75,000",No Ratings,Grey
322,https://www.daraz.com.np/products/dell-latitude-13inch-5320-model-11th-generation-i5-processor-8gb-ram-256gb-ssd-i127386217.html,Dell Latitude 13inch 5320 Model (11th generation i5 processor/ 8gb RAM / 256GB SSD),"Rs. 118,000","Rs. 120,000",No Ratings,Silver
324,https://www.daraz.com.np/products/laptop-lenovo-ideapad-1-intel-celeron-n4020-i132005695.html,Laptop Lenovo IdeaPad 1 Intel Celeron N4020,"Rs. 35,199","Rs. 42,000",No Ratings,cloud grey
330,https://www.daraz.com.np/products/dell-inspiron-3511-i5-laptop-11-gen-processor-8-gb-ram-512-gb-ssd-2-gb-graphics-1-year-warranty-silver-or-black-i128639500.html,Dell Inspiron 3511 I5 Laptop 11 Gen Processor 8 GB RAM 512 GB SSD 2 GB Graphics 1 Year Warranty Silver or Black,"Rs. 95,999","Rs. 114,999",No Ratings,Black
331,https://www.daraz.com.np/products/asus-expertbook-b1402-i7-13th-gen-16gb-ram-512gb-ssd-14-fhd-screen-backlit-keyboard-fp-laptop-i131371951.html,"Asus Expertbook B1402 i7 13th Gen | 16GB RAM | 512GB ssd | 14"" FHD Screen | Backlit Keyboard | FP Laptop","Rs. 103,790","Rs. 125,000",No Ratings,Blue
332,https://www.daraz.com.np/products/msi-cyborg-15-a12uc-gaming-laptop-12th-gen-core-i5-16gb-ram-512gb-gen4-ssd-156-fhd-144hz-nvidia-rtx-3050-4gb-win-11-home-i129972117.html,"MSI Cyborg 15 A12UC Gaming Laptop (12th Gen Core i5 | 16GB RAM | 512GB Gen4 SSD | 15.6"" FHD 144Hz | NVIDIA RTX 3050 4GB | Win 11 Home)","Rs. 128,000","Rs. 130,000",No Ratings,Black
